question,answer,followUp
Are you a self-motivator?,"Absolutely. For me, internal motivation works far more than external motivation ever could. Yes, at first, it may seem like I want some sort of external motivation, but the very end, my heart goes into the work assigned only when my own self pushes me to do it.",Awesome. How would you spread motivation to others?
What matters to you more - job satisfaction or salary?,"According to me, job satisfaction covers all - the quality and quantity of work, salary, company environment and others. Yes, cooperation and adjustment is needed in a company. ",Are you ready to work in a company who offers you 5 times more than what you get now but the area may not be very intersting to you?
What matters to you more - job satisfaction or salary?,"According to me, job satisfaction covers all - the quality and quantity of work, salary, company environment and others. Yes, cooperation and adjustment is needed in a company. ",If you are not able to adjust with your teammates how do you manage?
"Have you worked with someone unprofessional, how did you handle it?","During my B-Tech final semester internship, I have experienced unprofessional behavior.  I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent. ",Do you think not showing the displeasure is the only way to tackle that situation?
"Have you worked with someone unprofessional, how did you handle it?","During my B-Tech final semester internship, I have experienced unprofessional behavior.  I did not do anything to show my displeasure, instead, I kept behaving professionally. It didn't solve the issue, but did reduce the magnitude to some extent. ","If the same situation arises now, will you take the same stand or a different one?"
Describe a time when your workload was heavy and how you handled it.,"During the placements in final year of graduation, I had to prepare for campus drives and GATE at the same time. In that time prioritised the work by giving more importance to placements as GATE was after four months. I continued to attend classes for GATE so that I remain in touch with the syllabus and preparing for the placements in the rest of the time. After placements I switched my attention back to GATE.",Describe this with an example.
Describe a time when your workload was heavy and how you handled it.,"During the placements in final year of graduation, I had to prepare for campus drives and GATE at the same time. In that time prioritised the work by giving more importance to placements as GATE was after four months. I continued to attend classes for GATE so that I remain in touch with the syllabus and preparing for the placements in the rest of the time. After placements I switched my attention back to GATE.",How good are you when there is pressure at work?
What motivates you to do a good job?,"Good job is itself a motivation to work. Comfortableness, security, payment, flexibility, work, encouragement, appreciation motivates to work for any employee. If the mentioned qualities are satisfied, i think everyone will be motivated to work.",What is your biggest achievement according to you at your previous work?
Where do you see yourself five years from now?,I am a believer who thinks that thinking big allows a person to become big. I hope that I would be a more knowledgable person than I am today and can be in a position that can share more knowledge to my fellow citizens. I also hope that I would be in a position that can bring direct impact to the society and contribute more with what I have. I hope to explore the world and learn new exciting technologies that can bring change into the lives of the citizens.,What do you mean by direct impact to the society?
Where do you see yourself five years from now?,I am a believer who thinks that thinking big allows a person to become big. I hope that I would be a more knowledgable person than I am today and can be in a position that can share more knowledge to my fellow citizens. I also hope that I would be in a position that can bring direct impact to the society and contribute more with what I have. I hope to explore the world and learn new exciting technologies that can bring change into the lives of the citizens.,"Given a chance to serve society or to take up a high paying job abraod, where is the right balance for the thoughts you shared just now?"
In what ways are you an organised or disorganised person?,"I am a totally disorganised person the result of which I, at times, fail to live up to my abilities and expectations. I don't organise things very well. Though, in some cases, I am pretty good at organising like thinking of what to do with a particular thing or person but for that, a lot of time has to be spent. ",Has the disorganization ever harmed you professionally?
In what ways are you an organised or disorganised person?,"I am a totally disorganised person the result of which I, at times, fail to live up to my abilities and expectations. I don't organise things very well. Though, in some cases, I am pretty good at organising like thinking of what to do with a particular thing or person but for that, a lot of time has to be spent. ",taking a lot of time to think what to do... Why do you think that as pretty good at organizing?
What do people most often criticize about you?,"I am not very social, which i hear a lot of times from my friends.
I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",Do you stll feel comfortable being an introvert or do you try to change yourself?
What do people most often criticize about you?,"I am not very social, which i hear a lot of times from my friends.
I am introvert so i avoid going into social gatherings. I have been criticised for this many times.",Have you eveer tried to work on these drawbacks?
Explain how would you be an asset to this organisation?,"I believe my skill sets are complimentary and useful. One of my major strengths is to accurately predict a person's potential. Therefore I will be an excellent team player and coordinator. You will find that I am a loyal employee. Though I am in the technical field, I do have some experience and knowledge in business. I believe that you will find me to be the whole package.",What is the most challenging part you have faced during your work?
How do you balance life and work?,I donot think that I balance my work and life properly. Sometimes thereis heavy workload which donot allow me to spend time with my family. But I do give time to my personal life and family.,That's sad. How do you think you can fix that?
Tell me about a time you took the lead in a team project. What was the project outcome?,"I have work experience of only 2 years. So, I didn't get a chance to lead a team. But, I was given two freshers when i am just a one year senior to me. My Team lead was confident that i can train them to work in project well and so she gave the job to lead them. I gave my best to teach them stuff and everything is going well. Once i assigned a work to them and asked them to finish it by themselves, they messed up badly. Then our team lead came to the rescue and helped us out. That was the moment i realized the qualities needed for Team lead and started learning from everyone possible on how to become a good leader.",Why should I hire you?
How do you balance life and work?,I most probably am not able to balance life and work but i usely make a time table to create a temp.  balance,How to you plan to prioritize your personal and professional life?
What do you do if you disagree with your boss?,"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.",How about the agreement of the other members of the team?
What do you do if you disagree with your boss?,"If such a situation arises, I would keep my thoughts in front of him politely and try to understand his point of view as well. If even after such discussion there is disagreement between us I will agree to disagree.","If the team's decision is with your boss, would you still disagree?"
What are your strengths and weaknesses? ,"My strengths are: I am loyal, trustworthy person. Also, quick learner, liable, peace loving person, proactive.
My weaknesses are: I trust people easily. ",Give an example of your loyality.
What are your strengths and weaknesses? ,"My strengths are: I am loyal, trustworthy person. Also, quick learner, liable, peace loving person, proactive.
My weaknesses are: I trust people easily. ",Why do you think trusting people easily is really a weakness?
Do you consider yourself successful? Why?,Partially. Have a lot of things that I haven't achieved yet.,Can you explain something you haven't achieved?
Do you consider yourself successful? Why?,Partially. Have a lot of things that I haven't achieved yet.,What are your plans to acheive the rest?
What obstacles or difficulties have you ever faced in communicating your ideas?,"Sometimes it happens that I am unable to express what I want to tell because of demotivation from other parties. But still I don't lose hope and stick with my ideas and try to explain that in some innovative and real examples. One day, I and my project partners were discussing on project idea. At that time, my idea was good and new but problem was that I don't have any proof to prove that my idea will work very well. But after some days of research, I found actual proof that it is possible to implement and then we all would agreed on that topic. For the newer person, it is natural to have some difficulties in communicating but after some efforts you will surely get confidence to explain it in better way. ",If you don't have an option to prove it later how will you manage?
What obstacles or difficulties have you ever faced in communicating your ideas?,"Sometimes it happens that I am unable to express what I want to tell because of demotivation from other parties. But still I don't lose hope and stick with my ideas and try to explain that in some innovative and real examples. One day, I and my project partners were discussing on project idea. At that time, my idea was good and new but problem was that I don't have any proof to prove that my idea will work very well. But after some days of research, I found actual proof that it is possible to implement and then we all would agreed on that topic. For the newer person, it is natural to have some difficulties in communicating but after some efforts you will surely get confidence to explain it in better way. ",It is not always possible to do research and prove. So are you trying to improve in communicating your ideas?
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",That's great! How did you manage to keep the team motivated?
Tell me about a time you took the lead in a team project. What was the project outcome?,"We have took part in a hackathon  and our team needed to work on the project for 24 hrs, me being the team lead  had to manage the work in the limited time. I have distributed the work according to the capabilities of the person and made sure that the work being done is perfect. we have completed the project within the deadline and they we really satisfied with the idea and the work. We won the hackathon and won the first prize, which made me and my team the best among all the teams that have participated fro Bangalore .",What did your team build?
Are you a self-motivator?,"Yes. In fact , a big big yes. At times I need someone to show me the light but most of the times, I am that guarding light for myself. And it's important as well because somebody can't be there all the time.  ",Why do you think you are self motivating?
 Why shouldn't I hire you?,"All the reasons I can say are for why should you hire me. There are no specific reasons for why you shouldn't hire me, but only if you want to miss a gem like employee who can work for you as required , who can finish work in time, and a  punctual, disciplined person.",What is the best and worst advise you've ever received?
What do people most often criticize about you?,"I am a bit lazy (a lot). I don't keep my room clean and my room partner is not happy with that. I am kind of a shy person and don't like to talk to every one very much which often make misunderstandings among people, which i suffer afterward. I dont like people to disturb me during work ",What are your weaknesses?
Why will you resign from a job?,If I am forced to do the job which i dont enjoy while doing it.,Why do you want to work for us?
How would you be an asset to this organisation?  ,"My area of research is perfectly aligned with the job description and hence with me, comes my 2 years of research that will bring quality to the kind of work that is being done in the organization. Also i have been to industry for 3 years so i know how things work at an organization level,  so we need not waste time on getting me on board and doing ramp up sessions to get used to of working ethics. ",How do you think this organization will be an asset to you?
